fill_na,scaler,imbalance,alpha,norm,cv_mean_cost
0,minmax,,0.001,True,48608.0
0,minmax,,0.001,False,14888.0
0,minmax,,0.1,True,70480.0
0,minmax,,0.1,False,14702.0
0,minmax,,1.0,True,85352.0
0,minmax,,1.0,False,14774.0
0,minmax,,10.0,True,97830.0
0,minmax,,10.0,False,16092.0
0,minmax,,100.0,True,99596.0
0,minmax,,100.0,False,31912.0
0,minmax,,1000.0,True,99126.0
0,minmax,,1000.0,False,90306.0
0,minmax,,10000.0,True,97418.0
0,minmax,,10000.0,False,97306.0
0,minmax,smote,0.001,True,35466.0
0,minmax,smote,0.001,False,14926.0
0,minmax,smote,0.1,True,40798.0
0,minmax,smote,0.1,False,14728.0
0,minmax,smote,1.0,True,43476.0
0,minmax,smote,1.0,False,14726.0
0,minmax,smote,10.0,True,37156.0
0,minmax,smote,10.0,False,14846.0
0,minmax,smote,100.0,True,22014.0
0,minmax,smote,100.0,False,15906.0
0,minmax,smote,1000.0,True,15346.0
0,minmax,smote,1000.0,False,15770.0
0,minmax,smote,10000.0,True,28092.0
0,minmax,smote,10000.0,False,24770.0
-1,minmax,,0.001,True,46398.0
-1,minmax,,0.001,False,14886.0
-1,minmax,,0.1,True,65436.0
-1,minmax,,0.1,False,14684.0
-1,minmax,,1.0,True,81502.0
-1,minmax,,1.0,False,14758.0
-1,minmax,,10.0,True,97674.0
-1,minmax,,10.0,False,15262.0
-1,minmax,,100.0,True,99748.0
-1,minmax,,100.0,False,29934.0
-1,minmax,,1000.0,True,99232.0
-1,minmax,,1000.0,False,86114.0
-1,minmax,,10000.0,True,98482.0
-1,minmax,,10000.0,False,98160.0
-1,minmax,smote,0.001,True,35778.0
-1,minmax,smote,0.001,False,14684.0
-1,minmax,smote,0.1,True,40344.0
-1,minmax,smote,0.1,False,14584.0
-1,minmax,smote,1.0,True,42934.0
-1,minmax,smote,1.0,False,14474.0
-1,minmax,smote,10.0,True,36500.0
-1,minmax,smote,10.0,False,14896.0
-1,minmax,smote,100.0,True,23772.0
-1,minmax,smote,100.0,False,15638.0
-1,minmax,smote,1000.0,True,15264.0
-1,minmax,smote,1000.0,False,16166.0
-1,minmax,smote,10000.0,True,23968.0
-1,minmax,smote,10000.0,False,22420.0
-100,minmax,,0.001,True,49720.0
-100,minmax,,0.001,False,16272.0
-100,minmax,,0.1,True,59416.0
-100,minmax,,0.1,False,16074.0
-100,minmax,,1.0,True,72358.0
-100,minmax,,1.0,False,16058.0
-100,minmax,,10.0,True,92996.0
-100,minmax,,10.0,False,16540.0
-100,minmax,,100.0,True,99344.0
-100,minmax,,100.0,False,28006.0
-100,minmax,,1000.0,True,99170.0
-100,minmax,,1000.0,False,72184.0
-100,minmax,,10000.0,True,99112.0
-100,minmax,,10000.0,False,98324.0
-100,minmax,smote,0.001,True,43260.0
-100,minmax,smote,0.001,False,16340.0
-100,minmax,smote,0.1,True,46914.0
-100,minmax,smote,0.1,False,16340.0
-100,minmax,smote,1.0,True,47634.0
-100,minmax,smote,1.0,False,16340.0
-100,minmax,smote,10.0,True,42328.0
-100,minmax,smote,10.0,False,16398.0
-100,minmax,smote,100.0,True,30758.0
-100,minmax,smote,100.0,False,16788.0
-100,minmax,smote,1000.0,True,20670.0
-100,minmax,smote,1000.0,False,19894.0
-100,minmax,smote,10000.0,True,25134.0
-100,minmax,smote,10000.0,False,25948.0
-10000,minmax,,0.001,True,57754.0
-10000,minmax,,0.001,False,19634.0
-10000,minmax,,0.1,True,61074.0
-10000,minmax,,0.1,False,19634.0
-10000,minmax,,1.0,True,64564.0
-10000,minmax,,1.0,False,19522.0
-10000,minmax,,10.0,True,72584.0
-10000,minmax,,10.0,False,20216.0
-10000,minmax,,100.0,True,95100.0
-10000,minmax,,100.0,False,31164.0
-10000,minmax,,1000.0,True,98760.0
-10000,minmax,,1000.0,False,59066.0
-10000,minmax,,10000.0,True,98088.0
-10000,minmax,,10000.0,False,81564.0
-10000,minmax,smote,0.001,True,55888.0
-10000,minmax,smote,0.001,False,19418.0
-10000,minmax,smote,0.1,True,56804.0
-10000,minmax,smote,0.1,False,19418.0
-10000,minmax,smote,1.0,True,57830.0
-10000,minmax,smote,1.0,False,19416.0
-10000,minmax,smote,10.0,True,57494.0
-10000,minmax,smote,10.0,False,19694.0
-10000,minmax,smote,100.0,True,52190.0
-10000,minmax,smote,100.0,False,20228.0
-10000,minmax,smote,1000.0,True,45266.0
-10000,minmax,smote,1000.0,False,27194.0
-10000,minmax,smote,10000.0,True,48098.0
-10000,minmax,smote,10000.0,False,43002.0
-1000000,minmax,,0.001,True,68504.0
-1000000,minmax,,0.001,False,27308.0
-1000000,minmax,,0.1,True,69304.0
-1000000,minmax,,0.1,False,27306.0
-1000000,minmax,,1.0,True,70210.0
-1000000,minmax,,1.0,False,27358.0
-1000000,minmax,,10.0,True,74278.0
-1000000,minmax,,10.0,False,28662.0
-1000000,minmax,,100.0,True,89690.0
-1000000,minmax,,100.0,False,34180.0
-1000000,minmax,,1000.0,True,98836.0
-1000000,minmax,,1000.0,False,63554.0
-1000000,minmax,,10000.0,True,98736.0
-1000000,minmax,,10000.0,False,79614.0
-1000000,minmax,smote,0.001,True,68114.0
-1000000,minmax,smote,0.001,False,26950.0
-1000000,minmax,smote,0.1,True,68114.0
-1000000,minmax,smote,0.1,False,26950.0
-1000000,minmax,smote,1.0,True,68294.0
-1000000,minmax,smote,1.0,False,26950.0
-1000000,minmax,smote,10.0,True,68520.0
-1000000,minmax,smote,10.0,False,27040.0
-1000000,minmax,smote,100.0,True,68522.0
-1000000,minmax,smote,100.0,False,27874.0
-1000000,minmax,smote,1000.0,True,67552.0
-1000000,minmax,smote,1000.0,False,32184.0
-1000000,minmax,smote,10000.0,True,67306.0
-1000000,minmax,smote,10000.0,False,49794.0
mean,minmax,,0.001,True,58292.0
mean,minmax,,0.001,False,15608.0
mean,minmax,,0.1,True,70268.0
mean,minmax,,0.1,False,15606.0
mean,minmax,,1.0,True,86612.0
mean,minmax,,1.0,False,15682.0
mean,minmax,,10.0,True,99206.0
mean,minmax,,10.0,False,15416.0
mean,minmax,,100.0,True,100004.0
mean,minmax,,100.0,False,22136.0
mean,minmax,,1000.0,True,100004.0
mean,minmax,,1000.0,False,73200.0
mean,minmax,,10000.0,True,100006.0
mean,minmax,,10000.0,False,99816.0
mean,minmax,smote,0.001,True,46790.0
mean,minmax,smote,0.001,False,15404.0
mean,minmax,smote,0.1,True,47632.0
mean,minmax,smote,0.1,False,15404.0
mean,minmax,smote,1.0,True,46716.0
mean,minmax,smote,1.0,False,15392.0
mean,minmax,smote,10.0,True,36724.0
mean,minmax,smote,10.0,False,15596.0
mean,minmax,smote,100.0,True,24590.0
mean,minmax,smote,100.0,False,15890.0
mean,minmax,smote,1000.0,True,18048.0
mean,minmax,smote,1000.0,False,17168.0
mean,minmax,smote,10000.0,True,19088.0
mean,minmax,smote,10000.0,False,19420.0
most_frequent,minmax,,0.001,True,38406.0
most_frequent,minmax,,0.001,False,19050.0
most_frequent,minmax,,0.1,True,52556.0
most_frequent,minmax,,0.1,False,19070.0
most_frequent,minmax,,1.0,True,71376.0
most_frequent,minmax,,1.0,False,19162.0
most_frequent,minmax,,10.0,True,96512.0
most_frequent,minmax,,10.0,False,19138.0
most_frequent,minmax,,100.0,True,100004.0
most_frequent,minmax,,100.0,False,19880.0
most_frequent,minmax,,1000.0,True,100004.0
most_frequent,minmax,,1000.0,False,43352.0
most_frequent,minmax,,10000.0,True,100006.0
most_frequent,minmax,,10000.0,False,92440.0
most_frequent,minmax,smote,0.001,True,30386.0
most_frequent,minmax,smote,0.001,False,19306.0
most_frequent,minmax,smote,0.1,True,33952.0
most_frequent,minmax,smote,0.1,False,19210.0
most_frequent,minmax,smote,1.0,True,35794.0
most_frequent,minmax,smote,1.0,False,19216.0
most_frequent,minmax,smote,10.0,True,32880.0
most_frequent,minmax,smote,10.0,False,19292.0
most_frequent,minmax,smote,100.0,True,27918.0
most_frequent,minmax,smote,100.0,False,19434.0
most_frequent,minmax,smote,1000.0,True,26632.0
most_frequent,minmax,smote,1000.0,False,21114.0
most_frequent,minmax,smote,10000.0,True,33428.0
most_frequent,minmax,smote,10000.0,False,28446.0
